NAME,PRIMARY TYPE,LAST ERUPTION YEAR,COUNTRY,REGION2,SUBREGION,LATITUDE,LONGITUDE,ELEVATION,EVIDENCE CATEGORY,POPULATION WITHIN 5KM,POPULATION WITHIN 10KM,POPULATION WITHIN 30KM,POPULATION WITHIN 100KM
Liado Hayk,Maar(s),Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",9.57,40.28,878,Evidence Uncertain,22847,22847,54244,2688559
Liamuiga,Stratovolcano,160,Saint Kitts and Nevis,"West Indies","West Indies",17.37,-62.8,1156,Eruption Dated,2009,7285,35138,141136
Licancabur,Stratovolcano,Unknown,Chile-Bolivia,"South America","Northern Chile, Bolivia and Argentina",-22.83,-67.88,5916,Evidence Credible,10,86,1650,12389
Licto,Pyroclastic cone(s),Unknown,Ecuador,"South America","Ecuador",-1.78,-78.613,3336,Evidence Uncertain,250144,250144,333276,1806438
Lihir,Compound,Unknown,Papua New Guinea,"Melanesia and Australia","New Ireland",-3.125,152.642,700,Evidence Credible,959,2592,3562,32340
Lipari,Stratovolcano(es),1230,Italy,"Mediterranean and Western Asia","Italy",38.49,14.933,590,Eruption Dated,26049,28925,36059,1564043
Little Sitkin,Stratovolcano,1830,United States,"Alaska","Aleutian Islands",51.95,178.543,1174,Eruption Observed,0,0,0,0
Ljosufjoll,Fissure vent(s),960,Iceland,"Iceland and Arctic Ocean","Iceland (western)",64.9,-22.483,1063,Eruption Dated,713,713,1511,192797
Llaima,Stratovolcano,2009,Chile,"South America","Central Chile and Argentina",-38.692,-71.729,3125,Eruption Observed,86,811,18568,630458
Llullaillaco,Stratovolcano,1877,Chile-Argentina,"South America","Northern Chile, Bolivia and Argentina",-24.72,-68.53,6739,Eruption Observed,0,18,391,9859
Lobster,Submarine,Unknown,Tonga,"New Zealand to Fiji","Tonga Islands",-15.333,-176.283,-1500,Evidence Uncertain,0,0,0,0
Loihi,Submarine,1996,United States,"Hawaii and Pacific Ocean","Hawaiian Islands",18.92,-155.27,-975,Eruption Observed,0,0,0,105623
Lokon-Empung,Stratovolcano(es),2015,Indonesia,"Indonesia","Sulawesi",1.358,124.792,1580,Eruption Observed,12183,75684,942160,1583346
Lolo,Stratovolcano,Unknown,Papua New Guinea,"Melanesia and Australia","New Britain",-5.466,150.509,796,Evidence Uncertain,5176,13925,35526,144334
Lolobau,Caldera,1912,Papua New Guinea,"Melanesia and Australia","New Britain",-4.92,151.158,858,Eruption Observed,7243,7243,9659,62340
Loloru,Pyroclastic shield,-1050,Papua New Guinea,"Melanesia and Australia","Bougainville and Solomon Islands",-6.52,155.62,1887,Eruption Dated,1,173,26075,97088
Long Island,Complex,1993,Papua New Guinea,"Melanesia and Australia","Northeast of New Guinea",-5.358,147.12,1280,Eruption Observed,172,2023,4017,78803
Longavi,Stratovolcano,-4890,Chile,"South America","Central Chile and Argentina",-36.193,-71.161,3242,Eruption Dated,17,141,3901,753797
Longgang Group,Pyroclastic cone(s),350,China,"Kamchatka and Mainland Asia","China (eastern)",42.33,126.5,1000,Eruption Dated,34708,34708,197016,4407575
Longonot,Stratovolcano,1863,Kenya,"Africa and Red Sea","Africa (eastern)",-0.914,36.446,2776,Eruption Dated,809,17893,410677,8750154
Lonquimay,Stratovolcano,1990,Chile,"South America","Central Chile and Argentina",-38.379,-71.586,2832,Eruption Observed,96,540,13635,504320
Lopevi,Stratovolcano,2017,Vanuatu,"Melanesia and Australia","Vanuatu",-16.507,168.346,1413,Eruption Observed,690,793,7942,50310
Lower Chindwin,Volcanic field,Unknown,Burma (Myanmar),"Philippines and SE Asia","Southeast Asia",22.28,95.1,385,Evidence Uncertain,564958,564958,709881,4549176
Lubukraya,Stratovolcano,Unknown,Indonesia,"Indonesia","Sumatra",1.478,99.209,1862,Evidence Uncertain,349,6931,445954,2208734
Lumut Balai,Stratovolcano?,Unknown,Indonesia,"Indonesia","Sumatra",-4.22,103.62,2055,Unrest / Holocene,86,1295,36785,1790124
Lunayyir,Volcanic field,1000,Saudi Arabia,"Middle East and Indian Ocean","Middle East (southern)",25.17,37.75,1370,Eruption Observed,234,234,234,61662
Ma Alalta,Stratovolcano,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.013,40.185,1745,Evidence Credible,3925,25246,66381,1332833
Maca,Stratovolcano,1560,Chile,"South America","Southern Chile and Argentina",-45.1,-73.17,2960,Eruption Dated,0,0,375,26903
Macauley,Caldera,-4360,New Zealand,"New Zealand to Fiji","Kermadec Islands",-30.21,-178.475,238,Eruption Dated,0,0,0,0
Macdonald,Submarine,1989,Undersea Features,"Hawaii and Pacific Ocean","Pacific Ocean (central)",-28.98,-140.25,-39,Eruption Observed,0,0,0,0
Machin,Stratovolcano,1180,Colombia,"South America","Colombia",4.487,-75.389,2749,Eruption Dated,2150,15212,570836,4165071
Madeira,Shield,-4500,Portugal,"Atlantic Ocean","Azores",32.73,-16.97,1862,Eruption Dated,209816,209816,215730,220977
Madilogo,Pyroclastic cone,Unknown,Papua New Guinea,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-9.2,147.57,850,Evidence Credible,146,670,10015,486684
Mageik,Stratovolcano,-500,United States,"Alaska","Alaska Peninsula",58.195,-155.253,2165,Eruption Dated,0,0,0,376
Mahagnao,Stratovolcano,Unknown,Philippines,"Philippines and SE Asia","Central Philippines",10.882,124.888,860,Unrest / Holocene,11,4338,66949,827590
Mahawu,Stratovolcano,1977,Indonesia,"Indonesia","Sulawesi",1.352,124.865,1299,Eruption Observed,18618,111852,878193,1503109
Maipo,Caldera,1912,Chile-Argentina,"South America","Central Chile and Argentina",-34.164,-69.832,5323,Eruption Observed,3916,3916,8221,1684481
Makaturing,Stratovolcano,1882,Philippines,"Philippines and SE Asia","Mindanao",7.647,124.32,1940,Eruption Observed,1501,9752,418007,6142586
Makian,Stratovolcano,1988,Indonesia,"Indonesia","Halmahera",0.32,127.4,1357,Eruption Observed,4986,8466,21360,441768
Makushin,Stratovolcano,1995,United States,"Alaska","Aleutian Islands",53.891,-166.923,1800,Eruption Observed,0,0,3437,3850
Malang Plain,Maar(s),Unknown,Indonesia,"Indonesia","Java",-8.02,112.68,680,Evidence Credible,2397210,2397210,3218499,22950711
Malinche,Stratovolcano,-1170,Mexico,"México and Central America","Mexico",19.231,-98.032,4461,Eruption Dated,46,2769,2324232,8225539
Malindang,Stratovolcano,Unknown,Philippines,"Philippines and SE Asia","Mindanao",8.22,123.63,2404,Evidence Credible,317,13659,731423,4044299
Malindig,Stratovolcano,Unknown,Philippines,"Philippines and SE Asia","Luzon",13.24,122.018,1157,Evidence Credible,8066,21486,217286,2639049
Malintang,Stratovolcano,Unknown,Indonesia,"Indonesia","Sumatra",0.47,99.67,1983,Evidence Credible,56,535,169047,1602138
Mallahle,Stratovolcano,Unknown,Ethiopia-Eritrea,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.27,41.65,1875,Evidence Uncertain,912,1454,3830,30930
Maly Payalpan,Shield(s),Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",55.82,157.98,1802,Evidence Uncertain,0,12,24,2170
Maly Semyachik,Caldera,1952,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",54.135,159.674,1527,Eruption Observed,98,98,497,10182
Mammoth Mountain,Lava dome(s),1260,United States,"Canada and Western USA","USA (California)",37.631,-119.032,3369,Eruption Dated,2220,6242,7745,77851
Managlase Plateau,Volcanic field,Unknown,Papua New Guinea,"Melanesia and Australia","New Guinea and D'Entrecasteaux Islands",-9.08,148.33,1342,Evidence Credible,5732,5732,14700,145917
Manam,Stratovolcano,2017,Papua New Guinea,"Melanesia and Australia","Northeast of New Guinea",-4.08,145.037,1807,Eruption Observed,1106,2553,24364,180402
Manda Gargori,Fissure vent(s),Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",11.75,41.48,700,Evidence Credible,284,1127,74334,310427
Manda Hararo,Shield(s),2009,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",12.17,40.82,600,Eruption Observed,191,857,7455,419204
Manda-Inakir,Fissure vent(s),1928,Ethiopia-Djibouti,"Africa and Red Sea","Africa (northeastern) and Red Sea",12.38,42.2,600,Eruption Observed,116,1130,15991,223924
Mandalagan,Complex,Unknown,Philippines,"Philippines and SE Asia","Central Philippines",10.65,123.25,1885,Unrest / Holocene,563,6491,765974,9390672
Manuk,Stratovolcano,Unknown,Indonesia,"Indonesia","Banda Sea",-5.543,130.303,257,Unrest / Holocene,0,0,0,58
Manzaz Volcanic Field,Pyroclastic cone(s),Unknown,Algeria,"Africa and Red Sea","Africa (northern)",23.92,5.83,1672,Evidence Credible,1196,1196,1326,5278
Marapi,Complex,2017,Indonesia,"Indonesia","Sumatra",-0.381,100.473,2891,Eruption Observed,706,57453,818039,4059773
Marchena,Shield,1991,Ecuador,"South America","Galapagos Islands",0.33,-90.47,343,Eruption Observed,785,785,785,3001
Mare,Stratovolcano,Unknown,Indonesia,"Indonesia","Halmahera",0.57,127.4,308,Evidence Credible,889,20821,300717,498716
Marha,Tuff cone,Unknown,Yemen,"Middle East and Indian Ocean","Middle East (southern)",15.245,44.236,2506,Evidence Uncertain,7617,215379,2502680,6484784
Mariana Back-Arc Segment at 15.5°N,Submarine,2015,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",15.406,144.506,-4100,Eruption Dated,0,0,0,0
Mariñaqui,Pyroclastic cone(s),Unknown,Chile,"South America","Central Chile and Argentina",-38.255,-71.167,2108,Evidence Credible,95,314,4640,85612
Marion Island,Shield(s),2004,South Africa,"Middle East and Indian Ocean","Indian Ocean (southern)",-46.9,37.75,1230,Eruption Observed,0,0,0,0
Mariveles,Stratovolcano,-2050,Philippines,"Philippines and SE Asia","Luzon",14.52,120.47,1388,Eruption Dated,903,48079,455154,25981912
Markagunt Plateau,Volcanic field,1050,United States,"Canada and Western USA","USA (Utah)",37.58,-112.67,2840,Evidence Credible,970,970,1887,186184
Maroa,Caldera(s),180,New Zealand,"New Zealand to Fiji","New Zealand",-38.42,176.08,897,Eruption Dated,117,532,27958,475588
Marra,Volcanic field,-2000,Sudan,"Africa and Red Sea","Africa (northern)",12.95,24.27,3042,Eruption Dated,638,8692,120061,983802
Marsabit,Shield,Unknown,Kenya,"Africa and Red Sea","Africa (eastern)",2.32,37.97,1707,Evidence Uncertain,16804,22677,49742,111322
Marsili,Submarine,-1050,Italy,"Mediterranean and Western Asia","Italy",39.284,14.399,-779,Eruption Dated,0,0,0,0
Martin,Stratovolcano,1953,United States,"Alaska","Alaska Peninsula",58.172,-155.361,1863,Eruption Dated,0,0,0,914
Maruyama,Stratovolcano(es),1898,Japan,"Japan, Taiwan, Marianas","Hokkaido",43.453,143.036,2013,Eruption Observed,0,6,3682,1260920
Masaraga,Stratovolcano,Unknown,Philippines,"Philippines and SE Asia","Luzon",13.32,123.6,1328,Evidence Credible,14744,141095,1390760,4193903
Masaya,Caldera,2017,Nicaragua,"México and Central America","Nicaragua",11.984,-86.161,635,Eruption Observed,989888,989888,1914707,2926954
Mascota Volcanic Field,Pyroclastic cone(s),Unknown,Mexico,"México and Central America","Mexico",20.62,-104.83,2560,Evidence Credible,16293,16293,31760,1083467
Mashkovtsev,Stratovolcano,Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",51.1,156.72,503,Evidence Credible,9,19,492,4403
Mashu,Caldera,1080,Japan,"Japan, Taiwan, Marianas","Hokkaido",43.572,144.561,857,Eruption Dated,9794,9794,25627,632919
Mat Ala,Shield,Unknown,Ethiopia,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.106,41.161,493,Evidence Credible,45,92,6756,83190
Matthew Island,Stratovolcano,1956,France,"Melanesia and Australia","Pacific Ocean (southwestern)",-22.33,171.32,177,Eruption Observed,1,1,1,1
Matutum,Stratovolcano,1290,Philippines,"Philippines and SE Asia","Mindanao",6.37,125.07,2286,Eruption Dated,855,10431,822372,5316209
Maug Islands,Stratovolcano,Unknown,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",20.02,145.22,227,Unrest / Holocene,0,0,0,0
Maule,Caldera,-50,Chile,"South America","Central Chile and Argentina",-36.058,-70.492,2162,Eruption Dated,1045,1045,1521,169334
Mauna Kea,Shield,-2460,United States,"Hawaii and Pacific Ocean","Hawaiian Islands",19.82,-155.47,4205,Eruption Dated,126,126,9950,166888
Mauna Loa,Shield,1984,United States,"Hawaii and Pacific Ocean","Hawaiian Islands",19.475,-155.608,4170,Eruption Observed,45,45,1906,175315
Mayon,Stratovolcano,2014,Philippines,"Philippines and SE Asia","Luzon",13.257,123.685,2462,Eruption Observed,4350,248448,1166441,4142375
Mayor Island,Shield,-5060,New Zealand,"New Zealand to Fiji","New Zealand",-37.28,176.25,355,Eruption Dated,105,105,141,355290
Mayotte Island,Shield,-2050,France,"Middle East and Indian Ocean","Indian Ocean (western)",-12.83,45.17,660,Eruption Dated,0,0,0,0
McDonald Islands,Complex,2005,Australia,"Middle East and Indian Ocean","Indian Ocean (southern)",-53.03,72.6,230,Eruption Observed,0,0,0,0
Meager,Complex,-410,Canada,"Canada and Western USA","Canada",50.63,-123.5,2680,Eruption Dated,1,111,307,17662
Medicine Lake,Shield,1060,United States,"Canada and Western USA","USA (California)",41.611,-121.554,2412,Eruption Dated,0,0,254,120685
Mega Basalt Field,Pyroclastic cone(s),Unknown,Ethiopia-Kenya,"Africa and Red Sea","Africa (northeastern) and Red Sea",4.08,37.42,1067,Evidence Credible,2815,2815,7605,119999
Megata,Maar(s),-2050,Japan,"Japan, Taiwan, Marianas","Honshu",39.95,139.73,291,Eruption Dated,1854,3577,81218,1205440
Mehetia,Stratovolcano,Unknown,France,"Hawaii and Pacific Ocean","Pacific Ocean (central)",-17.874,-148.068,389,Evidence Credible,114,114,114,114
Meidob Volcanic Field,Pyroclastic cone(s),-2950,Sudan,"Africa and Red Sea","Africa (northern)",15.32,26.47,2000,Eruption Dated,5140,5140,5140,24193
Melbourne,Stratovolcano,1892,Antarctica,"Antarctica","Antarctica and South Sandwich Islands",-74.35,164.7,2732,Eruption Dated,0,0,0,0
Melimoyu,Stratovolcano,200,Chile,"South America","Southern Chile and Argentina",-44.08,-72.88,2400,Eruption Dated,0,6,211,12944
Melville,Stratovolcano,Unknown,Antarctica,"Antarctica","Antarctica and South Sandwich Islands",-62.02,-57.67,549,Evidence Uncertain,0,0,0,0
Menengai,Shield,-6050,Kenya,"Africa and Red Sea","Africa (eastern)",-0.2,36.07,2278,Eruption Dated,2192,204608,886293,4259089
Mentolat,Stratovolcano,1710,Chile,"South America","Southern Chile and Argentina",-44.7,-73.08,1660,Eruption Observed,0,8,183,23675
Merapi,Stratovolcano,2014,Indonesia,"Indonesia","Java",-7.542,110.442,2968,Eruption Observed,49205,185849,4348473,24728414
Merbabu,Stratovolcano,1797,Indonesia,"Indonesia","Java",-7.454,110.44,3118,Eruption Observed,19996,249747,3019783,25096234
Mere Lava,Stratovolcano,Unknown,Vanuatu,"Melanesia and Australia","Vanuatu",-14.45,168.05,1028,Evidence Credible,72,73,73,18522
Meru,Stratovolcano,1910,Tanzania,"Africa and Red Sea","Africa (eastern)",-3.25,36.75,4565,Eruption Observed,0,2506,828942,2375631
Methana,Lava dome(s),-258,Greece,"Mediterranean and Western Asia","Greece",37.615,23.336,760,Eruption Observed,152,1683,48917,4220783
Metis Shoal,Submarine,1995,Tonga,"New Zealand to Fiji","Tonga Islands",-19.18,-174.87,43,Eruption Observed,18,18,18,7907
Meullin,Volcanic field,Unknown,Chile,"South America","Southern Chile and Argentina",-45.22,-73.05,1080,Evidence Credible,0,0,0,0
Mezhdusopochny,Shield,Unknown,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",57.47,160.25,1641,Evidence Uncertain,0,0,81,2765
Michinmahuida,Stratovolcano,1835,Chile,"South America","Southern Chile and Argentina",-42.799,-72.445,2452,Eruption Observed,0,9,7989,64498
Michoacan-Guanajuato,Pyroclastic cone(s),1952,Mexico,"México and Central America","Mexico",19.85,-101.75,3860,Eruption Observed,5783287,5783287,5783287,5783287
Midagahara,Stratovolcano,1839,Japan,"Japan, Taiwan, Marianas","Honshu",36.571,137.59,2621,Eruption Observed,401,521,143935,4455560
Middle Gobi,Pyroclastic cone(s),Unknown,Mongolia,"Kamchatka and Mainland Asia","Mongolia",45.28,106.7,1120,Evidence Uncertain,5852,5852,5852,25745
Mikurajima,Stratovolcano,-4100,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",33.874,139.602,851,Eruption Dated,293,293,4551,25466
Milbanke Sound Group,Pyroclastic cone(s),Unknown,Canada,"Canada and Western USA","Canada",52.5,-128.73,335,Evidence Credible,574,574,574,2792
Milna,Stratovolcano,1914,Russia,"Kuril Islands","Kuril Islands",46.815,151.786,1504,Eruption Observed,43,47,49,188
Milos,Stratovolcano(es),140,Greece,"Mediterranean and Western Asia","Greece",36.699,24.439,751,Eruption Dated,6688,7389,9851,73100
Minami Hiyoshi,Submarine,1975,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",23.5,141.935,-107,Eruption Observed,0,0,0,26
Miniques,Stratovolcano(es),Unknown,Chile,"South America","Northern Chile, Bolivia and Argentina",-23.82,-67.77,5910,Evidence Uncertain,3,39,505,5618
Miravalles,Stratovolcano,1946,Costa Rica,"México and Central America","Costa Rica",10.748,-85.153,2028,Eruption Observed,79,7492,61875,757945
Misti,Stratovolcano,1985,Peru,"South America","Peru",-16.294,-71.409,5822,Eruption Observed,82,1507,918280,1052408
Miyakejima,Stratovolcano,2010,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.094,139.526,775,Eruption Observed,1848,3189,3474,95663
Mocho-Choshuenco,Stratovolcano(es),1937,Chile,"South America","Central Chile and Argentina",-39.927,-72.027,2422,Eruption Observed,81,789,16633,401631
Moekeshiwan [Lvinaya Past],Stratovolcano,-7480,Japan - administered by Russia,"Kuril Islands","Kuril Islands",44.608,146.994,528,Eruption Dated,0,206,588,5938
Moffett,Stratovolcano,-1600,United States,"Alaska","Aleutian Islands",51.944,-176.747,1196,Eruption Dated,0,0,0,0
Mojanda,Stratovolcano(es),Unknown,Ecuador,"South America","Ecuador",0.13,-78.27,4263,Evidence Uncertain,173,15510,480382,3071030
Mokuyo Seamount,Submarine,Unknown,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",28.327,140.572,-933,Unrest / Holocene,0,0,0,0
Mombacho,Stratovolcano,Unknown,Nicaragua,"México and Central America","Nicaragua",11.826,-85.968,1344,Unrest / Holocene,656,56671,621451,2709304
Momotombo,Stratovolcano,2016,Nicaragua,"México and Central America","Nicaragua",12.423,-86.539,1270,Eruption Observed,100,1851,98583,3569021
Monaco Bank,Submarine,1911,Portugal,"Atlantic Ocean","Azores",37.6,-25.88,-197,Eruption Observed,0,0,70224,139971
Mono Lake Volcanic Field,Pyroclastic cone(s),1790,United States,"Canada and Western USA","USA (California)",38.0,-119.03,2121,Eruption Dated,1066,1066,1491,65028
Mono-Inyo Craters,Lava dome(s),1380,United States,"Canada and Western USA","USA (California)",37.804,-119.029,2796,Eruption Dated,558,7393,9048,82160
Monowai,Submarine,2012,New Zealand,"New Zealand to Fiji","Tonga Islands",-25.887,-177.188,-132,Eruption Observed,0,0,0,0
Montagu Island,Shield,2007,United Kingdom,"Antarctica","Antarctica and South Sandwich Islands",-58.445,-26.374,1370,Eruption Observed,0,0,0,0
Morning,Shield,Unknown,Antarctica,"Antarctica","Antarctica and South Sandwich Islands",-78.5,163.53,2723,Evidence Uncertain,0,0,0,0
Moti,Stratovolcano,Unknown,Indonesia,"Indonesia","Halmahera",0.454,127.411,927,Evidence Credible,3190,5051,89568,462393
Motlav,Stratovolcano,Unknown,Vanuatu,"Melanesia and Australia","Vanuatu",-13.67,167.67,411,Evidence Credible,251,292,3768,7490
Moua Pihaa,Submarine,1970,France,"Hawaii and Pacific Ocean","Pacific Ocean (central)",-18.325,-148.525,-312,Eruption Dated,0,0,0,17065
Mousa Alli,Stratovolcano,Unknown,Ethiopia-Eritrea-Djibouti,"Africa and Red Sea","Africa (northeastern) and Red Sea",12.469,42.404,1993,Evidence Credible,132,1148,11607,201977
Moyorodake [Medvezhia],Stratovolcano,1999,Japan - administered by Russia,"Kuril Islands","Kuril Islands",45.389,148.838,1124,Eruption Observed,11,42,600,4333
Moyuta,Stratovolcano,Unknown,Guatemala,"México and Central America","Guatemala",14.03,-90.1,1662,Evidence Credible,3457,15469,394687,7064437
Muhavura,Stratovolcano,Unknown,Uganda-Rwanda,"Africa and Red Sea","Africa (central)",-1.383,29.678,4103,Evidence Credible,10680,197162,1189226,10833809
Mundua,Complex,Unknown,Papua New Guinea,"Melanesia and Australia","New Britain",-4.63,149.35,179,Evidence Credible,489,501,6406,9419
Muria,Stratovolcano,-160,Indonesia,"Indonesia","Java",-6.62,110.88,1625,Eruption Dated,212,7653,1587867,13061031
Musuan,Lava dome,1886,Philippines,"Philippines and SE Asia","Mindanao",7.877,125.068,646,Eruption Observed,67591,134114,517243,6198562
Mutnovsky,Complex,2000,Russia,"Kamchatka and Mainland Asia","Kamchatka Peninsula",52.449,158.196,2288,Eruption Observed,0,0,97,250858
Myojinsho,Submarine,1970,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",31.888,139.918,11,Eruption Observed,0,0,0,242
Myokosan,Stratovolcano,-750,Japan,"Japan, Taiwan, Marianas","Honshu",36.891,138.114,2454,Eruption Dated,1563,11033,561142,4118863
Nabro,Stratovolcano,2012,Eritrea,"Africa and Red Sea","Africa (northeastern) and Red Sea",13.37,41.7,2218,Eruption Observed,24,145,2713,26881
Nabukelevu,Lava dome(s),1660,Fiji,"New Zealand to Fiji","Fiji Islands",-19.12,177.98,805,Eruption Dated,269,1379,4523,21730
Nakanoshima,Stratovolcano(es),1914,Japan,"Japan, Taiwan, Marianas","Ryukyu Islands and Kyushu",29.859,129.857,979,Eruption Observed,137,170,364,14037
Namarunu,Shield,-6550,Kenya,"Africa and Red Sea","Africa (eastern)",1.98,36.43,817,Eruption Dated,47,537,7073,186674
Nantai,Stratovolcano,-9540,Japan,"Japan, Taiwan, Marianas","Honshu",36.762,139.494,2486,Eruption Dated,781,12768,128931,11079746
Naolinco Volcanic Field,Pyroclastic cone(s),-1200,Mexico,"México and Central America","Mexico",19.67,-96.75,2000,Eruption Dated,108824,108824,739767,4184323
Narcondum,Stratovolcano,Unknown,India,"Indonesia","Andaman Islands",13.43,94.28,710,Evidence Credible,0,0,0,0
Naruko,Caldera,837,Japan,"Japan, Taiwan, Marianas","Honshu",38.729,140.734,470,Eruption Observed,54771,54771,210262,4417058
Nasudake,Stratovolcano(es),1963,Japan,"Japan, Taiwan, Marianas","Honshu",37.125,139.963,1915,Eruption Observed,639,5802,298717,5725203
Natib,Stratovolcano,Unknown,Philippines,"Philippines and SE Asia","Luzon",14.72,120.4,1253,Evidence Uncertain,450,4977,1050509,25524080
Nazko,Pyroclastic cone(s),-5220,Canada,"Canada and Western USA","Canada",52.928,-123.732,1238,Eruption Dated,4,8,674,25892
NE Shepherd Islands,Stratovolcano(es),Unknown,Vanuatu,"Melanesia and Australia","Vanuatu",-16.992,168.592,216,Evidence Uncertain,1101,1972,6407,69711
Negra,Shield,2005,Ecuador,"South America","Galapagos Islands",-0.83,-91.17,1124,Eruption Observed,408,408,983,9884
Negrillar,Pyroclastic cone(s),Unknown,Chile,"South America","Northern Chile, Bolivia and Argentina",-24.18,-68.25,3500,Evidence Credible,112,112,406,8463
Negrillar,Pyroclastic cone(s),Unknown,Chile,"South America","Northern Chile, Bolivia and Argentina",-24.319,-68.59,4220,Evidence Uncertain,19,104,791,9301
Negro,Pyroclastic cone(s),1999,Nicaragua,"México and Central America","Nicaragua",12.506,-86.702,728,Eruption Observed,1690,10243,296320,3540933
Nejapa-Miraflores,Fissure vent(s),1060,Nicaragua,"México and Central America","Nicaragua",12.12,-86.32,360,Eruption Dated,295906,870837,1610426,3062823
Nemo Peak,Caldera,1938,Russia,"Kuril Islands","Kuril Islands",49.57,154.808,1018,Eruption Observed,15,15,46,582
Nemrut Dagi,Stratovolcano,1650,Turkey,"Mediterranean and Western Asia","Turkey",38.654,42.229,2948,Eruption Observed,608,7399,230531,1618263
Nevada,Complex,Unknown,Chile-Argentina,"South America","Northern Chile, Bolivia and Argentina",-26.48,-68.58,6173,Evidence Credible,27,27,232,7638
Nevis Peak,Stratovolcano,Unknown,Saint Kitts and Nevis,"West Indies","West Indies",17.15,-62.58,985,Evidence Uncertain,5363,9541,35673,132863
Newberry,Shield,690,United States,"Canada and Western USA","USA (Oregon)",43.722,-121.229,2434,Eruption Dated,0,0,16437,180091
Newer Volcanics Province,Shield(s),-2900,Australia,"Melanesia and Australia","Australia",-37.77,142.5,1011,Eruption Dated,610361,610361,610361,610361
Ngozi,Caldera,1450,Tanzania,"Africa and Red Sea","Africa (eastern)",-8.989,33.554,2614,Eruption Dated,456466,456466,604376,2195623
Nicholson,Pyroclastic cone,Unknown,Peru,"South America","Peru",-16.261,-71.754,2525,Evidence Credible,223,824,815351,1074503
Nightingale Island,Stratovolcano,2004,United Kingdom,"Atlantic Ocean","Atlantic Ocean (southern)",-37.42,-12.48,365,Eruption Observed,0,0,27,258
Niigata-Yakeyama,Lava dome,1998,Japan,"Japan, Taiwan, Marianas","Honshu",36.921,138.036,2400,Eruption Observed,73,610,226866,3920252
Niijima,Lava dome(s),886,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.397,139.27,432,Eruption Observed,3060,3349,6139,1347661
Nikko,Submarine,Unknown,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",23.078,142.326,-392,Unrest / Holocene,0,0,0,0
Nikko-Shiranesan,Shield,1952,Japan,"Japan, Taiwan, Marianas","Honshu",36.799,139.376,2578,Eruption Observed,513,2502,79844,9303980
Nila,Stratovolcano,1968,Indonesia,"Indonesia","Banda Sea",-6.73,129.5,781,Eruption Observed,200,200,200,1382
Niseko,Stratovolcano(es),-4900,Japan,"Japan, Taiwan, Marianas","Hokkaido",42.88,140.63,1308,Eruption Dated,778,9981,75171,2967982
Nishihitokappuyama [Bogatyr Ridge],Stratovolcano,Unknown,Japan - administered by Russia,"Kuril Islands","Kuril Islands",44.833,147.342,1634,Evidence Credible,5,130,1268,5735
Nishinoshima,Caldera,2017,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",27.247,140.874,25,Eruption Observed,0,0,0,0
Nisyros,Stratovolcano,1888,Greece,"Mediterranean and Western Asia","Greece",36.586,27.16,698,Eruption Observed,672,680,14285,461031
Niuafo'ou,Shield,1985,Tonga,"New Zealand to Fiji","Tonga Islands",-15.6,-175.63,260,Eruption Observed,118,155,155,155
Niuatahi,Caldera,Unknown,Tonga,"New Zealand to Fiji","Tonga Islands",-15.379,-174.003,-1270,Unrest / Holocene,0,0,0,0
Norikuradake,Stratovolcano(es),-50,Japan,"Japan, Taiwan, Marianas","Honshu",36.106,137.554,3026,Eruption Dated,250,1616,109638,5057979
North Gorda Ridge Segment,Submarine,1996,Undersea Features,"Hawaii and Pacific Ocean","Pacific Ocean (northern)",42.67,-126.78,-3000,Eruption Observed,0,0,0,0
North Island,Tuff cone(s),Unknown,Kenya,"Africa and Red Sea","Africa (eastern)",4.059,36.049,490,Evidence Credible,21,21,7326,180900
North Vate,Stratovolcano(es),Unknown,Vanuatu,"Melanesia and Australia","Vanuatu",-17.47,168.353,594,Evidence Credible,3327,6497,26614,61663
